update 0.3.3 downloading
update 0.3.3 installed
[star2] 0.3.3 joining selftest-out as "1337Desktop" (mono, 128 kbps)
[star2] peer already in selftest-out - connecting
  jitter 4.6ms  buf 20ms  loss 0.0%  out 10ms  rx 81/s  play 78/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 10ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 10ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 10ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 199/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 4.9ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 201/s  play 201/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
  jitter 5.0ms  buf 20ms  loss 0.0%  out 5ms  rx 200/s  play 200/s
